"TotalPixels","Width","Height","Speedup"
400,20,20,3.49999999999983
1600,40,40,2.80000000000002
3600,60,60,3.9000000000001
6400,80,80,3.7894736842105
10000,100,100,3.65714285714285
22500,150,150,5.33333333333331
40000,200,200,5.2295918367347
160000,400,400,5.11764705882353
640000,800,800,11.5095130040147
1e+06,1000,1000,14.2310877967973
